#Proactive Hunt C2 Threat Intelligence Feeds Generated on Threatview[.]io on 16-June-2021. Machine Readable feed available at https://threatview[.]io/Downloads/High-Confidence-CobaltstrikeC2_IP_feed.txt
IP,Date of Detection,Host,Protocol,Beacon Config,Comment
185.32.124.168,24 May 2021 09:00 AM UTC,ecs-159-138-58-45.compute.hwclouds-dns.com,https,"stereeofficeknot.net,/safebrowsing/rd/nX4Yecwd6qp3a3T7BhgTvJbjFwAwgUZj0-N3zAu1AP4BE",Generated by Threatview[.]io Proactive Hunter
159.138.58.45,24 May 2021 09:00 AM UTC,,https,"159.138.58.45,/Activate/v1.87/3O3SB5SNQ5",Generated by Threatview[.]io Proactive Hunter
134.122.134.34,24 May 2021 09:00 AM UTC,li981-73.members.linode.com,https,"134.122.134.87,/IE9CompatViewList.xml",Generated by Threatview[.]io Proactive Hunter
45.33.27.73,24 May 2021 09:00 AM UTC,,https,"45.33.27.73,/en_US/all.js",Generated by Threatview[.]io Proactive Hunter
47.90.202.152,24 May 2021 09:00 AM UTC,,https,"47.90.202.152,/updates.rss",Generated by Threatview[.]io Proactive Hunter
5.45.83.2,24 May 2021 09:00 AM UTC,,https,"owa.artunetworks.com,/sxn/start",Generated by Threatview[.]io Proactive Hunter
8.210.68.113,24 May 2021 09:00 AM UTC,,https,"bbs.robomaster.com,/viewerng/meta,tianqi.com,/viewerng/meta,juejin.cn,/viewerng/meta,btcfans.com,/viewerng/meta,xue338.com,/viewerng/meta,python2.net,/viewerng/meta,w2bc.com,/viewerng/meta,jiangzi.com,/viewerng/meta,mytokencap.com,/viewerng/meta",Generated by Threatview[.]io Proactive Hunter
185.162.235.35,24 May 2021 09:00 AM UTC,184.122.211.130.bc.googleusercontent.com,https,"185.162.235.35,/fwlink",Generated by Threatview[.]io Proactive Hunter
130.211.122.184,24 May 2021 09:00 AM UTC,ec2-50-112-173-213.us-west-2.compute.amazonaws.com,https,"test2.floridasattorneys.com,/blog",Generated by Threatview[.]io Proactive Hunter
50.112.173.213,24 May 2021 09:00 AM UTC,vps-0-amkor.tilaa.cloud,https,"10.0.3.116,/__utm.gif",Generated by Threatview[.]io Proactive Hunter
37.252.120.101,24 May 2021 09:00 AM UTC,ec2-52-211-114-168.eu-west-1.compute.amazonaws.com,https,"37.252.120.101,/resolve/alter/",Generated by Threatview[.]io Proactive Hunter
52.211.114.168,24 May 2021 09:00 AM UTC,no-rdns.mivocloud.com,https,"pepesec.azureedge.net,/s/ref=nb_sb_noss_1/647-50007454-8514032/field-keywords=person",Generated by Threatview[.]io Proactive Hunter
5.252.179.218,24 May 2021 09:00 AM UTC,,https,"5.252.179.218,/ptj",Generated by Threatview[.]io Proactive Hunter
185.106.123.107,24 May 2021 09:00 AM UTC,,https,"fut1.net,/userid=",Generated by Threatview[.]io Proactive Hunter
47.115.54.254,24 May 2021 09:00 AM UTC,,https,"47.115.54.254,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books",Generated by Threatview[.]io Proactive Hunter
39.108.62.177,24 May 2021 09:00 AM UTC,25.172.68.34.bc.googleusercontent.com,https,"207.148.107.212,/load",Generated by Threatview[.]io Proactive Hunter
34.68.172.25,24 May 2021 09:00 AM UTC,server5.mailming.live,https,"www.bankrate.com,/index.html,cnn.com,/index.html",Generated by Threatview[.]io Proactive Hunter
185.183.97.141,24 May 2021 09:00 AM UTC,,https,"185.183.97.141,/g.pixel",Generated by Threatview[.]io Proactive Hunter
